code,description,category,variable_type,semantic_key,reference_unit,consumption_per_reference_unit,initial_value,source_price_value,source_price_formula,source_reference_formula,source_is_formula_derived,currency,source_file,source_sheet,source_row,scope,review_status
PU_DISCO_CORTE_4_5,"Disco de corte 4.5"" (amoladora de mano — uso habitual en obra/taller)","11.3 Consumibles de corte — tamaños reales de disco (reemplaza el disco 14"" asumido, que no es el estándar de mano)",precio_unitario,,un,1,40,40,,D83*E83,True,UYU,Variables.xlsx,Precios Base,83,reutilizable,requiere_revision
PU_DISCO_CORTE_7,"Disco de corte 7"" (perfiles pesados HEB/IPN)","11.3 Consumibles de corte — tamaños reales de disco (reemplaza el disco 14"" asumido, que no es el estándar de mano)",precio_unitario,,un,1,140,140,,,False,UYU,Variables.xlsx,Precios Base,85,reutilizable,requiere_revision
PU_DISCO_DESBASTE,Disco de desbaste/pulido (por ml de soldadura terminada),4. CONSUMIBLES DE SOLDADURA Y CORTE,precio_unitario,,Un,1,130,130,,D28*E28,True,UYU,Variables.xlsx,Precios Base,28,reutilizable,referencia_importada
PU_DISCO_DESBASTE_4_5,"Disco de desbaste 4.5""","11.3 Consumibles de corte — tamaños reales de disco (reemplaza el disco 14"" asumido, que no es el estándar de mano)",precio_unitario,,un,1,100,100,,,False,UYU,Variables.xlsx,Precios Base,84,reutilizable,requiere_revision
PU_ELECTRODO_INOX,Electrodo Inox E308L,"11.1 Materiales alternativos (quemador/parrilla/chimenea — consultas 5, 6 y 7 dejaron el material abierto)",precio_unitario,,kg,1,920,920,23*40,D76*E76,True,UYU,Variables.xlsx,Precios Base,76,reutilizable,referencia_importada
PU_ENCOFRADO,"Encofrado de madera para dado (por unidad, reutilizable ~10 usos)",7. HORMIGÓN Y ALBAÑILERÍA (dados de fundación — cerco y pilares),precio_unitario,,un,1,1000,1000,,D43*E43,True,UYU,Variables.xlsx,Precios Base,43,reutilizable,referencia_importada
PU_ESCUADRA_FIJACION,Escuadra/clip metálico de fijación techo-viga,"6. BULONERÍA, ANCLAJES QUÍMICOS Y GROUT",precio_unitario,,un,1,50,50,,,False,UYU,Variables.xlsx,Precios Base,40,reutilizable,referencia_importada
PU_ESMALTE_PU,Esmalte poliuretánico (PU) negro (2 manos) — litro,"5. PINTURA — FONDO ANTICORROSIVO + ESMALTE PU (confirmado por estudio, H03/H04)",precio_unitario,,m²,1,17,17,850/50,D32*E32,True,UYU,Variables.xlsx,Precios Base,32,reutilizable,referencia_importada
PU_EXCAVACION_POZO,Excavación manual de pozo (por unidad),7. HORMIGÓN Y ALBAÑILERÍA (dados de fundación — cerco y pilares),precio_unitario,,un,1,400,400,500*0.8,D44*E44,True,UYU,Variables.xlsx,Precios Base,44,reutilizable,referencia_importada
PU_FLETE_VIAJE,Flete y transporte a obra (por viaje),"10. FLETE, INDIRECTOS Y MÁRGENES",costo_logistica,logistics.trip_price,viaje,1,25000,25000,,D67*E67,True,UYU,Variables.xlsx,Precios Base,67,reutilizable,referencia_importada
PU_FONDO,Fondo anticorrosivo (1 mano) — litro,"5. PINTURA — FONDO ANTICORROSIVO + ESMALTE PU (confirmado por estudio, H03/H04)",precio_unitario,,m²,1,17,17,850/50,D31*E31,True,UYU,Variables.xlsx,Precios Base,31,reutilizable,referencia_importada
PU_GAS_ACETILENO,Gas Acetileno (carga),"11.3 Consumibles de corte — tamaños reales de disco (reemplaza el disco 14"" asumido, que no es el estándar de mano)",precio_unitario,,carga,1,5000,5000,,,False,UYU,Variables.xlsx,Precios Base,88,reutilizable,requiere_revision
PU_GAS_ARGON_CARGA,Gas Argón/CO2 (carga de garrafa),"11.3 Consumibles de corte — tamaños reales de disco (reemplaza el disco 14"" asumido, que no es el estándar de mano)",precio_unitario,,carga,1,5000,5000,,,False,UYU,Variables.xlsx,Precios Base,86,reutilizable,requiere_revision
PU_GAS_MIG,Gas de protección MIG (por hora de soldadura),4. CONSUMIBLES DE SOLDADURA Y CORTE,precio_unitario,,hs sold.,1,200,200,,D29*E29,True,UYU,Variables.xlsx,Precios Base,29,reutilizable,referencia_importada
PU_GAS_OXIGENO,Gas Oxígeno (carga),"11.3 Consumibles de corte — tamaños reales de disco (reemplaza el disco 14"" asumido, que no es el estándar de mano)",precio_unitario,,carga,1,5000,5000,,,False,UYU,Variables.xlsx,Precios Base,87,reutilizable,requiere_revision
PU_GASTOS_GRALES,Gastos generales y administración,"10. FLETE, INDIRECTOS Y MÁRGENES",regla_comercial_porcentaje,commercial.overhead_rate,%,1,0.1,0.1,,D68*E68,True,UYU,Variables.xlsx,Precios Base,68,reutilizable,referencia_importada
PU_GROUT_BOLSA,Grout / mortero de nivelación sin retracción (bolsa 25kg),"6. BULONERÍA, ANCLAJES QUÍMICOS Y GROUT",precio_unitario,,un,1,2300,2300,,,False,UYU,Variables.xlsx,Precios Base,38,reutilizable,referencia_importada
PU_GUANTES_SOLDAR,Guantes de soldar (par),"11.6 EPP y seguridad — costo real de obra, no contemplado antes",precio_unitario,,par,1,1200,1200,,D98*E98,True,UYU,Variables.xlsx,Precios Base,98,reutilizable,referencia_importada
PU_HEB200,HEB 200,1. PERFILES METÁLICOS (precio por kg — pesos según tabla DIN 1025 / EN 10034),precio_unitario,,ml,1,6000,6000,1800*40/12,,True,UYU,Variables.xlsx,Precios Base,8,reutilizable,referencia_importada
PU_HH_ALBANIL,Oficial albañil,"8. MANO DE OBRA — TALLER Y MONTAJE (precio por hora, salvo indicación)",tarifa_mano_obra,,hora,1,600,600,,,False,UYU,Variables.xlsx,Precios Base,50,reutilizable,referencia_importada
PU_HH_AY_ALBANIL,Ayudante albañil,"8. MANO DE OBRA — TALLER Y MONTAJE (precio por hora, salvo indicación)",tarifa_mano_obra,,hora,1,475,475,,,False,UYU,Variables.xlsx,Precios Base,51,reutilizable,referencia_importada
PU_HH_AYUDANTE,Ayudante herrero — taller,"8. MANO DE OBRA — TALLER Y MONTAJE (precio por hora, salvo indicación)",tarifa_mano_obra,,hora,1,500,500,,,False,UYU,Variables.xlsx,Precios Base,47,reutilizable,referencia_importada
PU_HH_MONTAJE,Cuadrilla de montaje en obra (oficial + 2 ayudantes + equipo),"8. MANO DE OBRA — TALLER Y MONTAJE (precio por hora, salvo indicación)",tarifa_mano_obra,,hora,1,4650,4650,700+475*2+3000,,True,UYU,Variables.xlsx,Precios Base,48,reutilizable,referencia_importada
PU_HH_OFICIAL,Oficial herrero / soldador — taller,"8. MANO DE OBRA — TALLER Y MONTAJE (precio por hora, salvo indicación)",tarifa_mano_obra,,hora,1,700,700,,D46*E46,True,UYU,Variables.xlsx,Precios Base,46,reutilizable,referencia_importada
PU_HH_PINTOR,Pintor industrial,"8. MANO DE OBRA — TALLER Y MONTAJE (precio por hora, salvo indicación)",tarifa_mano_obra,,hora,1,750,750,,,False,UYU,Variables.xlsx,Precios Base,49,reutilizable,referencia_importada
PU_HORMIGON_M3,Hormigón elaborado H25 (por m³),7. HORMIGÓN Y ALBAÑILERÍA (dados de fundación — cerco y pilares),precio_unitario,,m³,1,7500,7500,,D42*E42,True,UYU,Variables.xlsx,Precios Base,42,reutilizable,referencia_importada
PU_INSUMOS_ABRASIVOS,"Cepillo de acero, piedra de esmeril, lija (surtido)",11.7 Insumos menores de taller (mantenimiento y terminación — agrupables en un solo % si se prefiere no detallar),precio_unitario,,gl,1,10000,10000,,D102*E102,True,UYU,Variables.xlsx,Precios Base,102,reutilizable,referencia_importada
PU_INSUMOS_PREP_SUPERFICIE,"Diluyente, desengrasante, decapante, cera protectora (surtido)",11.7 Insumos menores de taller (mantenimiento y terminación — agrupables en un solo % si se prefiere no detallar),precio_unitario,,gl,1,10000,10000,,D103*E103,True,UYU,Variables.xlsx,Precios Base,103,reutilizable,referencia_importada
PU_IPN120,IPN 120,1. PERFILES METÁLICOS (precio por kg — pesos según tabla DIN 1025 / EN 10034),precio_unitario,,ml,1,666.66666666666663,666.66666666666663,100*40/6,D6*E6,True,UYU,Variables.xlsx,Precios Base,6,reutilizable,referencia_importada
PU_IPN320,IPN 320,1. PERFILES METÁLICOS (precio por kg — pesos según tabla DIN 1025 / EN 10034),precio_unitario,,ml,1,6666.666666666667,6666.666666666667,2000*40/12,D7*E7,True,UYU,Variables.xlsx,Precios Base,7,reutilizable,referencia_importada
PU_IVA,IVA (Uruguay),"10. FLETE, INDIRECTOS Y MÁRGENES",regla_comercial_porcentaje,commercial.tax_rate,%,1,0.22,0.22,,D70*E70,True,UYU,Variables.xlsx,Precios Base,70,reutilizable,referencia_importada
PU_KIT_BULONES_ESTR,Bulones y tuercas estructurales (kit),11.5 Tornillería y fijaciones — versión 'kit' (alternativa simplificada a los ítems M16 individuales ya cargados),precio_unitario,,kit,1,5000,5000,,D95*E95,True,UYU,Variables.xlsx,Precios Base,95,reutilizable,referencia_importada
PU_KIT_TARUGOS,Tarugos estructurales reforzados (kit),11.5 Tornillería y fijaciones — versión 'kit' (alternativa simplificada a los ítems M16 individuales ya cargados),precio_unitario,,kit,1,5000,5000,,D96*E96,True,UYU,Variables.xlsx,Precios Base,96,reutilizable,referencia_importada
PU_KIT_TORNILLERIA,Tornillería y fijaciones (kit estándar),11.5 Tornillería y fijaciones — versión 'kit' (alternativa simplificada a los ítems M16 individuales ya cargados),precio_unitario,,kit,1,5000,5000,,D94*E94,True,UYU,Variables.xlsx,Precios Base,94,reutilizable,referencia_importada
PU_MALLA,"Malla electrosoldada 50×50mm (Ø estimado 4,2mm)",3. MALLA ELECTROSOLDADA Y CUBIERTAS,precio_unitario,,m²,1,500,500,,D22*E22,True,UYU,Variables.xlsx,Precios Base,22,reutilizable,requiere_revision
PU_MASCARILLA_PINTURA,Mascarilla / respirador para pintura,"11.6 EPP y seguridad — costo real de obra, no contemplado antes",precio_unitario,,un,1,3000,3000,,D99*E99,True,UYU,Variables.xlsx,Precios Base,99,reutilizable,referencia_importada
PU_MASILLA_REFRACTARIA,Masilla refractaria,11.2 Pintura y terminaciones especiales (chimeneas y protección de materiales especiales),precio_unitario,,kg,1,500,500,,D79*E79,True,UYU,Variables.xlsx,Precios Base,79,reutilizable,referencia_importada
PU_PATINA_INOX,Tratamiento pátina / ennegrecido inox,11.2 Pintura y terminaciones especiales (chimeneas y protección de materiales especiales),precio_unitario,,un,1,500,500,,D81*E81,True,UYU,Variables.xlsx,Precios Base,81,reutilizable,referencia_importada
PU_PERFILC,Perfil C 100×50×20×2mm (correa),1. PERFILES METÁLICOS (precio por kg — pesos según tabla DIN 1025 / EN 10034),precio_unitario,,ml,1,666.66666666666663,666.66666666666663,8000/12,,True,UYU,Variables.xlsx,Precios Base,13,reutilizable,referencia_importada
PU_PINTURA_ALTATEMP,Pintura alta temperatura (hasta 600°C),11.2 Pintura y terminaciones especiales (chimeneas y protección de materiales especiales),precio_unitario,,litro,1,850,850,,D78*E78,True,UYU,Variables.xlsx,Precios Base,78,reutilizable,referencia_importada
PU_POLICARB,Policarbonato macizo — espesor a definir (asumido 3mm),3. MALLA ELECTROSOLDADA Y CUBIERTAS,precio_unitario,,m²,1,1650,1650,,D23*E23,True,UYU,Variables.xlsx,Precios Base,23,reutilizable,requiere_revision
PU_SELLADOR_CORTEN,Sellador para acero corten,11.2 Pintura y terminaciones especiales (chimeneas y protección de materiales especiales),precio_unitario,,litro,1,1500,1500,,D80*E80,True,UYU,Variables.xlsx,Precios Base,80,reutilizable,referencia_importada
PU_TIRADOR,Tiradores / manijas,"11.4 Herrajes de puertas y portones (H01 puertas parrillero, H02 portones)",precio_unitario,,un,1,5000,5000,,D92*E92,True,UYU,Variables.xlsx,Precios Base,92,reutilizable,referencia_importada
PU_TORNILLO_AUTOP,Tornillo autoperforante + arandela EPDM (fijación cubierta/correa),"6. BULONERÍA, ANCLAJES QUÍMICOS Y GROUT",precio_unitario,,un,1,60,60,,,False,UYU,Variables.xlsx,Precios Base,39,reutilizable,referencia_importada
PU_TUBO100x50,Tubo estructural rectangular 100×50×3mm,1. PERFILES METÁLICOS (precio por kg — pesos según tabla DIN 1025 / EN 10034),precio_unitario,,ml,1,1912.5,1912.5,E11*1.5,,True,UYU,Variables.xlsx,Precios Base,12,reutilizable,referencia_importada
PU_TUBO40,Tubo estructural cuadrado 40×40×2mm,1. PERFILES METÁLICOS (precio por kg — pesos según tabla DIN 1025 / EN 10034),precio_unitario,,ml,1,200,200,,D9*E9,True,UYU,Variables.xlsx,Precios Base,9,reutilizable,referencia_importada
PU_TUBO50x2,Tubo estructural cuadrado 50×50×2mm,1. PERFILES METÁLICOS (precio por kg — pesos según tabla DIN 1025 / EN 10034),precio_unitario,,ml,1,850,850,,,False,UYU,Variables.xlsx,Precios Base,10,reutilizable,referencia_importada
PU_TUBO50x3,Tubo estructural cuadrado 50×50×3mm,1. PERFILES METÁLICOS (precio por kg — pesos según tabla DIN 1025 / EN 10034),precio_unitario,,ml,1,1275,1275,E10*1.5,,True,UYU,Variables.xlsx,Precios Base,11,reutilizable,referencia_importada
PU_TUERCA_M16,Tuerca + arandela + arandela de presión M16 (juego),"6. BULONERÍA, ANCLAJES QUÍMICOS Y GROUT",precio_unitario,,un,1,100,100,,,False,UYU,Variables.xlsx,Precios Base,36,reutilizable,referencia_importada
PU_VIDRIO_MASCARA,Vidrio de repuesto para máscara de soldar,"11.6 EPP y seguridad — costo real de obra, no contemplado antes",precio_unitario,,un,1,500,500,,D100*E100,True,UYU,Variables.xlsx,Precios Base,100,reutilizable,referencia_importada
REND_HS_ANCLAJE,Perforación y anclaje químico (por unidad de bulón),9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/un,1,0.35,0.35,,,False,UYU,Variables.xlsx,Precios Base,59,reutilizable,referencia_importada
REND_HS_DADO,Dado de hormigón para parante — hs de albañilería por unidad,9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/un,1,1.8,1.8,,,False,UYU,Variables.xlsx,Precios Base,64,reutilizable,referencia_importada
REND_HS_GROUT,Nivelado y colado de grout bajo platina (por platina),9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/un,1,1.5,1.5,,,False,UYU,Variables.xlsx,Precios Base,60,reutilizable,referencia_importada
REND_HS_MALLA,Colocación de malla electrosoldada — hs por m²,9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/m²,1,0.1,0.1,,,False,UYU,Variables.xlsx,Precios Base,62,reutilizable,referencia_importada
REND_HS_PINTURA,"Pintura (fondo + PU, 2 manos) — hs por m²",9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/m²,1,0.35,0.35,,,False,UYU,Variables.xlsx,Precios Base,61,reutilizable,referencia_importada
REND_HS_PLATINA_BASE,"Armado y soldado de platina de base (por unidad, incluye rigidizadores)",9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/un,1,3,3,,,False,UYU,Variables.xlsx,Precios Base,57,reutilizable,referencia_importada
REND_HS_PLATINA_CONEXION,Armado y soldado de platina de conexión viga-pilar (por unidad),9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/un,1,2,2,,,False,UYU,Variables.xlsx,Precios Base,58,reutilizable,referencia_importada
REND_HS_POLICARB,Colocación de cubierta policarbonato — hs por m²,9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/m²,1,0.25,0.25,,,False,UYU,Variables.xlsx,Precios Base,63,reutilizable,referencia_importada
REND_HS_QUEMADOR,Fabricación quemador/parrilla a medida — hs por conjunto,9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/un,1,8,8,,,False,UYU,Variables.xlsx,Precios Base,65,reutilizable,referencia_importada
REND_MONTAJE_LIVIANO,"Montaje en obra — hs por kg de estructura liviana (cerco, correas)",9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/kg,1,0.06,0.06,,,False,UYU,Variables.xlsx,Precios Base,56,reutilizable,referencia_importada
REND_MONTAJE_PESADO,Montaje en obra — hs por kg de estructura pesada (vigas/pilares),9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/kg,1,0.02,0.02,,,False,UYU,Variables.xlsx,Precios Base,55,reutilizable,referencia_importada
REND_TALLER_LIVIANO,"Fabricación en taller — hs por kg de perfil liviano (tubos, hasta HEB160)",9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/kg,1,0.12,0.12,,D53*E53,True,UYU,Variables.xlsx,Precios Base,53,reutilizable,referencia_importada
REND_TALLER_PESADO,"Fabricación en taller — hs por kg de perfil pesado (HEB200, IPN320)",9. RENDIMIENTOS DE MANO DE OBRA (horas-hombre por unidad — editables),rendimiento,,hs/kg,1,0.05,0.05,,,False,UYU,Variables.xlsx,Precios Base,54,reutilizable,referencia_importada
